key,run,seed,which,emb_top5_energy,emb_freqs_90,emb_radial_cv,emb_var_in_plane,logit_diag_energy,logit_diag_freqs_90,logit_freqs_for_99,attn_entropy,attn_operand_frac,attn_operand_entropy,attn_asymmetry,eq_attn_defect,eq_logit_swap,emb_dominant_k,emb_diag_overlap,logit_acc_full,eq_logit_anti,eq_shuffle_baseline,memorize_step,grok_step,steps_run,logit_acc_m1,logit_acc_m2,logit_acc_m3,logit_acc_m4,logit_acc_m5,logit_acc_m6,logit_acc_m8,logit_acc_m10
p97_frac0.30_wd1_seed0@memorize,p97_frac0.30_wd1_seed0,0,memorize,0.13638286292552948,42.0,0.39874947164562224,0.04069717985951504,0.12270037084817886,34.0,nan,0.6767044067382812,0.9966976642608643,0.6579704284667969,0.18887576460838318,0.18942572176456451,0.6138086915016174,3.0,3.0,0.16261766850948334,1.107611894607544,1.1141189336776733,100.0,1900.0,11100.0,0.026419678702950478,0.07834801077842712,0.16580624878406525,0.2689037322998047,0.3367749750614166,0.3865775763988495,0.6527482271194458,0.7869723439216614
p97_frac0.30_wd1_seed0@final,p97_frac0.30_wd1_seed0,0,final,0.5668165683746338,11.0,0.13091389046315122,0.1607252356911842,0.9838669896125793,9.0,3.0,1.0235326290130615,0.8374109268188477,0.6931471824645996,6.318092346191406e-05,0.00017000855586957186,0.004173941444605589,36.0,2.0,1.0,1.1078296899795532,1.0854958295822144,100.0,1900.0,11100.0,0.14151230454444885,0.4403279721736908,1.0,1.0,1.0,1.0,1.0,1.0
p97_frac0.30_wd1_seed1@memorize,p97_frac0.30_wd1_seed1,1,memorize,0.1649411916732788,43.0,0.31828470319636193,0.043506200018720256,0.22975361347198486,20.0,nan,0.7097012996673584,0.9941042065620422,0.6786177158355713,0.12704423069953918,0.12791627645492554,0.4977615773677826,24.0,5.0,0.2584269642829895,1.1260353326797485,1.1134706735610962,100.0,1200.0,2100.0,0.05982387065887451,0.10841178148984909,0.3501366674900055,0.4758578836917877,0.5965684652328491,0.7005769610404968,0.7520498037338257,0.828120231628418
p97_frac0.30_wd1_seed1@final,p97_frac0.30_wd1_seed1,1,final,0.4293670058250427,18.0,0.09478270515901377,0.09376203798682398,0.9838835000991821,8.0,3.0,0.8259838819503784,0.9627336263656616,0.6931455135345459,0.0015338808298110962,0.0016146783018484712,0.010242688469588757,20.0,3.0,1.0,1.0764247179031372,1.0804914236068726,100.0,1200.0,2100.0,0.13225023448467255,0.6614030003547668,1.0,1.0,1.0,1.0,1.0,1.0
p97_frac0.30_wd1_seed2@memorize,p97_frac0.30_wd1_seed2,2,memorize,0.1426946371793747,42.0,0.34961458191841144,0.040201548735062334,0.15377821028232574,28.0,nan,0.8084829449653625,0.959497332572937,0.6728136539459229,0.1474592685699463,0.14760161936283112,0.5599232912063599,22.0,2.0,0.22122684121131897,1.1051710844039917,1.1124202013015747,100.0,1300.0,1900.0,0.028849074617028236,0.08685089647769928,0.18721529841423035,0.3167324662208557,0.44457942247390747,0.533707857131958,0.7426359057426453,0.7736107110977173
p97_frac0.30_wd1_seed2@final,p97_frac0.30_wd1_seed2,2,final,0.29227012395858765,23.0,0.11052163903650161,0.0721825327790374,0.9781731963157654,10.0,4.0,0.8191190958023071,0.965517520904541,0.6930354833602905,0.013334490358829498,0.01333448477089405,0.025768252089619637,11.0,3.0,1.0,1.0443646907806396,1.0478847026824951,100.0,1300.0,1900.0,0.0901913121342659,0.4741876721382141,0.9801093339920044,1.0,1.0,1.0,1.0,1.0
p97_frac0.30_wd1_seed3@memorize,p97_frac0.30_wd1_seed3,3,memorize,0.16252155601978302,42.0,0.3454199892964836,0.04578767098604722,0.23971372842788696,22.0,nan,0.7875689268112183,0.9737054109573364,0.6920603513717651,0.04270915687084198,0.04372453689575195,0.3328202962875366,35.0,4.0,0.3024597764015198,1.1161267757415771,1.112492561340332,100.0,1200.0,1800.0,0.05876100808382034,0.1301245093345642,0.28348010778427124,0.38460370898246765,0.506984531879425,0.5876100659370422,0.7966899275779724,0.8800485730171204
p97_frac0.30_wd1_seed3@final,p97_frac0.30_wd1_seed3,3,final,0.35397201776504517,28.0,0.11172080629668209,0.08151557720227703,0.9821773171424866,10.0,5.0,0.8597902655601501,0.9487395286560059,0.6931439638137817,0.0014983117580413818,0.001948538119904697,0.018354397267103195,17.0,3.0,1.0,1.0822983980178833,1.0812064409255981,100.0,1200.0,1800.0,0.10036440938711166,0.6132705807685852,0.928180992603302,0.9801093339920044,0.9907379150390625,1.0,1.0,1.0
p97_frac0.30_wd1_seed4@memorize,p97_frac0.30_wd1_seed4,4,memorize,0.1628754585981369,42.0,0.30443854577698054,0.0451554593002309,0.21180617809295654,23.0,nan,0.7713199853897095,0.9794542789459229,0.6887989044189453,0.08860034495592117,0.08860568702220917,0.36946216225624084,12.0,3.0,0.29137563705444336,1.1191213130950928,1.1122454404830933,100.0,1500.0,2000.0,0.028849074617028236,0.13255390524864197,0.2661706507205963,0.3255390226840973,0.4599149823188782,0.5024293661117554,0.6573033928871155,0.8180990219116211
p97_frac0.30_wd1_seed4@final,p97_frac0.30_wd1_seed4,4,final,0.42935681343078613,20.0,0.2016109561185332,0.10627353089273496,0.9488509297370911,7.0,4.0,1.030203938484192,0.8308485150337219,0.6931353807449341,0.0037146881222724915,0.003723969915881753,0.01977771893143654,3.0,4.0,1.0,1.0928032398223877,1.0942622423171997,100.0,1500.0,2000.0,0.1208624318242073,0.4813240170478821,0.9471606612205505,1.0,1.0,1.0,1.0,1.0
