step,train_loss,test_loss,train_acc,test_acc,weight_norm
0,4.606494903564453,4.595551490783691,0.009918526746332645,0.01199514139443636,21.736871635613124
100,0.1365782618522644,2.1383681297302246,1.0,0.43956878781318665,23.504492257701564
200,0.020758753642439842,0.8178355097770691,1.0,0.8672942519187927,22.728279964798965
300,0.00796555820852518,0.13198904693126678,1.0,0.9940783381462097,22.59240365985109
400,0.00527994055300951,0.07416176050901413,1.0,0.9963558912277222,21.64663154819867
500,0.002382084261626005,0.029127739369869232,1.0,0.9984816312789917,21.506888402411633
600,0.0050721378065645695,0.02932898700237274,1.0,0.9980261325836182,22.061894068357716
700,0.004445352591574192,0.024292057380080223,1.0,0.9981779456138611,20.862260257258203
800,0.11633774638175964,0.2335856407880783,0.9989373087882996,0.9848162531852722,21.314059256724715
900,0.00922324974089861,0.028090549632906914,1.0,0.9992408156394958,20.588650807915194
1000,0.007178208790719509,0.023225273936986923,1.0,0.9995445013046265,20.344039297438307
1100,0.0033418822567909956,0.011425221338868141,1.0,1.0,21.05079877173698
1200,0.0014184986939653754,0.004594149999320507,1.0,1.0,22.063194315887163
1300,0.0006061362219043076,0.001716030528768897,1.0,1.0,23.19386046616437
