op,wd,seed,which,run,test_acc,logit_swap_defect,logit_anti_defect,attn_equivariance_defect,shuffle_baseline
add,1,0,memorize,p97_frac0.30_wd1_seed0,1.0,0.6138086915016174,1.107611894607544,0.18942572176456451,1.1141189336776733
add,1,0,final,p97_frac0.30_wd1_seed0,1.0,0.004173941444605589,1.1078296899795532,0.00017000855586957186,1.0854958295822144
add,1,1,memorize,p97_frac0.30_wd1_seed1,1.0,0.4977615773677826,1.1260353326797485,0.12791627645492554,1.1134706735610962
add,1,1,final,p97_frac0.30_wd1_seed1,1.0,0.010242688469588757,1.0764247179031372,0.0016146783018484712,1.0804914236068726
add,1,2,memorize,p97_frac0.30_wd1_seed2,1.0,0.5599232912063599,1.1051710844039917,0.14760161936283112,1.1124202013015747
add,1,2,final,p97_frac0.30_wd1_seed2,1.0,0.025768252089619637,1.0443646907806396,0.01333448477089405,1.0478847026824951
add,0.1,0,memorize,p97_frac0.30_wd0.1_seed0,0.9998481869697571,0.6169632077217102,1.1076767444610596,0.1934605985879898,1.1131967306137085
add,0.1,0,final,p97_frac0.30_wd0.1_seed0,0.9998481869697571,0.05120348185300827,1.087752342224121,0.018852287903428078,1.081258773803711
add,0.1,1,memorize,p97_frac0.30_wd0.1_seed1,1.0,0.5054763555526733,1.1250274181365967,0.13040965795516968,1.1129077672958374
add,0.1,1,final,p97_frac0.30_wd0.1_seed1,1.0,0.057574693113565445,1.0864861011505127,0.024254601448774338,1.08133864402771
add,0.1,2,memorize,p97_frac0.30_wd0.1_seed2,0.9993926286697388,0.5721668601036072,1.1058354377746582,0.15133680403232574,1.1121852397918701
add,0.1,2,final,p97_frac0.30_wd0.1_seed2,0.9993926286697388,0.05320886895060539,1.0691707134246826,0.021547870710492134,1.0609776973724365
sub,1,0,memorize,p97_frac0.30_wd1_seed0_opsub,1.0,0.7964797616004944,1.0293149948120117,0.28621190786361694,1.1170766353607178
sub,1,0,final,p97_frac0.30_wd1_seed0_opsub,1.0,1.0371617078781128,0.2710627317428589,0.464957594871521,1.1018476486206055
sub,1,1,memorize,p97_frac0.30_wd1_seed1_opsub,1.0,0.829128086566925,1.0594218969345093,0.3586384654045105,1.1174733638763428
sub,1,1,final,p97_frac0.30_wd1_seed1_opsub,1.0,1.086189866065979,0.5112774968147278,0.824832022190094,1.1130478382110596
sub,1,2,memorize,p97_frac0.30_wd1_seed2_opsub,1.0,0.8073953986167908,1.0340299606323242,0.32442018389701843,1.115437388420105
sub,1,2,final,p97_frac0.30_wd1_seed2_opsub,1.0,1.0908560752868652,0.15417064726352692,0.42819780111312866,1.1036980152130127
sub,0.1,0,memorize,p97_frac0.30_wd0.1_seed0_opsub,0.14773762226104736,0.8051660656929016,1.0335360765457153,0.29055681824684143,1.116819977760315
sub,0.1,0,final,p97_frac0.30_wd0.1_seed0_opsub,0.14773762226104736,0.7903982400894165,0.8566668629646301,0.4119945168495178,1.1186418533325195
sub,0.1,1,memorize,p97_frac0.30_wd0.1_seed1_opsub,0.047373216599226,0.8363382816314697,1.0632320642471313,0.3633517324924469,1.1174386739730835
sub,0.1,1,final,p97_frac0.30_wd0.1_seed1_opsub,0.047373216599226,0.7408854961395264,0.9699805974960327,0.4420647919178009,1.1195634603500366
sub,0.1,2,memorize,p97_frac0.30_wd0.1_seed2_opsub,0.9617370367050171,0.8131644129753113,1.0379809141159058,0.3290451467037201,1.1151376962661743
sub,0.1,2,final,p97_frac0.30_wd0.1_seed2_opsub,0.9617370367050171,0.9420115947723389,0.5530405640602112,0.5557056069374084,1.1121045351028442
