step,train_loss,test_loss,train_acc,test_acc,weight_norm
0,4.59588623046875,4.598238945007324,0.010272759012877941,0.00971758272498846,21.745498805321443
100,0.018939046189188957,7.139804840087891,1.0,0.033859703689813614,26.071554896708378
200,0.034535638988018036,6.643441677093506,1.0,0.055572427809238434,26.45450754778962
300,0.029594453051686287,6.120266914367676,1.0,0.07667779922485352,27.133038417327754
400,0.18620410561561584,4.477926731109619,0.9992915391921997,0.11205587536096573,28.253756686791387
500,0.12673471868038177,3.035515785217285,1.0,0.23914363980293274,28.601635200414083
600,0.028993040323257446,2.3452837467193604,1.0,0.368812620639801,26.200098262051032
700,0.057788822799921036,0.38151633739471436,1.0,0.9720619320869446,27.2567424417215
800,0.08499228954315186,0.19309258460998535,1.0,0.9989371299743652,26.234211708413937
900,0.08267443627119064,0.11791478842496872,1.0,0.9998481869697571,26.16963069036189
1000,0.06235594302415848,0.07752078026533127,1.0,1.0,25.37918831481321
1100,0.0649188831448555,0.0749058946967125,1.0,1.0,25.062934622171774
1200,0.41721418499946594,0.5038825869560242,0.9426142573356628,0.9186152219772339,25.85868559293642
1300,0.28721851110458374,0.3505774736404419,0.9861848950386047,0.9623443484306335,26.670721752409897
1400,0.12351537495851517,0.1422421783208847,1.0,0.9998481869697571,26.86894167174065
1500,0.09271271526813507,0.1042337566614151,1.0,1.0,26.52273432364135
1600,0.06749532371759415,0.07661006599664688,1.0,1.0,25.685565201497756
1700,0.07183972746133804,0.08292534947395325,1.0,1.0,27.26832326783769
1800,0.07325639575719833,0.08403564244508743,1.0,1.0,26.731861082952406
